model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2_cbam,192,12,0.7105158128349632,0.8610335793092814,0.8766519823788547,0.823177485644329,0.6619206606729292,"[0.7692307692307693, 0.9310344827586207, 0.8571428571428571, 0.8816568047337278, 0.6666666666666666, 0.8333333333333334]","[0.5263157894736842, 0.9310344827586207, 0.8571428571428571, 0.9802631578947368, 0.2222222222222222, 0.45454545454545453]","[0.625, 0.9310344827586207, 0.8571428571428571, 0.9283489096573209, 0.3333333333333333, 0.5882352941176471]"
mobilenetv2_cbam,192,13,0.6665466748800083,0.8437219724830345,0.831858407079646,0.649537037037037,0.6993938390036395,"[0.7, 1.0, 0.5, 0.9305555555555556, 0.26666666666666666, 0.5]","[0.7368421052631579, 0.8620689655172413, 0.5714285714285714, 0.881578947368421, 0.4444444444444444, 0.7]","[0.717948717948718, 0.9259259259259259, 0.5333333333333333, 0.9054054054054054, 0.3333333333333333, 0.5833333333333334]"
mobilenetv2_cbam,192,14,0.6418200341527044,0.8214747394461195,0.8185840707964602,0.6441452991452992,0.6485198868819559,"[0.5833333333333334, 0.92, 0.5, 0.9, 0.5, 0.46153846153846156]","[0.7368421052631579, 0.7931034482758621, 0.42857142857142855, 0.8881578947368421, 0.4444444444444444, 0.6]","[0.6511627906976745, 0.8518518518518519, 0.46153846153846156, 0.8940397350993378, 0.47058823529411764, 0.5217391304347826]"
mobilenetv2_cbam,192,15,0.6296924283218348,0.8357555747305264,0.831858407079646,0.6243944392811136,0.6741090880796762,"[0.6086956521739131, 1.0, 0.3333333333333333, 0.9310344827586207, 0.46153846153846156, 0.4117647058823529]","[0.7777777777777778, 0.8928571428571429, 0.125, 0.8823529411764706, 0.6666666666666666, 0.7]","[0.6829268292682927, 0.9433962264150944, 0.18181818181818182, 0.9060402684563759, 0.5454545454545454, 0.5185185185185185]"
mobilenetv2_cbam,224,1,0.6946120290762109,0.864262509632469,0.8590308370044053,0.6907563562904766,0.7089555786016767,"[0.7142857142857143, 0.9565217391304348, 0.4, 0.9403973509933775, 0.3333333333333333, 0.8]","[0.7894736842105263, 0.7586206896551724, 0.5714285714285714, 0.9342105263157895, 0.4, 0.8]","[0.75, 0.8461538461538461, 0.47058823529411764, 0.9372937293729373, 0.36363636363636365, 0.8]"
mobilenetv2_cbam,224,2,0.6727110210602577,0.8366956514736134,0.8370044052863436,0.682202304737516,0.7231901156583552,"[0.6818181818181818, 0.8484848484848485, 0.5, 0.9295774647887324, 0.6666666666666666, 0.4666666666666667]","[0.7894736842105263, 0.9655172413793104, 0.8571428571428571, 0.868421052631579, 0.2222222222222222, 0.6363636363636364]","[0.7317073170731707, 0.9032258064516129, 0.631578947368421, 0.8979591836734694, 0.3333333333333333, 0.5384615384615384]"
mobilenetv2_cbam,224,3,0.6068864468864469,0.8140913805958053,0.8097345132743363,0.5963835047168381,0.6254590019109076,"[0.55, 0.9259259259259259, 0.3333333333333333, 0.9054054054054054, 0.36363636363636365, 0.5]","[0.5789473684210527, 0.8620689655172413, 0.2857142857142857, 0.881578947368421, 0.4444444444444444, 0.7]","[0.5641025641025641, 0.8928571428571429, 0.3076923076923077, 0.8933333333333333, 0.4, 0.5833333333333334]"
mobilenetv2_cbam,224,4,0.7410267671137237,0.8896451417421021,0.8893805309734514,0.8032523032523033,0.763516069868157,"[0.7307692307692307, 1.0, 1.0, 0.9523809523809523, 0.5, 0.6363636363636364]","[1.0, 0.896551724137931, 0.2857142857142857, 0.9210526315789473, 0.7777777777777778, 0.7]","[0.8444444444444444, 0.9454545454545454, 0.4444444444444444, 0.9364548494983278, 0.6086956521739131, 0.6666666666666666]"
mobilenetv2_cbam,224,5,0.6304639862299194,0.8430262109070923,0.8539823008849557,0.7818253968253969,0.5790771864301276,"[0.75, 0.96, 1.0, 0.8809523809523809, 0.3, 0.8]","[0.6666666666666666, 0.8571428571428571, 0.25, 0.9673202614379085, 0.3333333333333333, 0.4]","[0.7058823529411765, 0.9056603773584906, 0.4, 0.9221183800623053, 0.3157894736842105, 0.5333333333333333]"
mobilenetv2_cbam,224,6,0.6723793490460158,0.8408024444147792,0.8370044052863436,0.7115241938771351,0.67914182006741,"[0.5769230769230769, 0.9615384615384616, 0.6, 0.918918918918919, 0.4117647058823529, 0.8]","[0.7894736842105263, 0.8620689655172413, 0.42857142857142855, 0.8947368421052632, 0.7, 0.4]","[0.6666666666666666, 0.9090909090909091, 0.5, 0.9066666666666666, 0.5185185185185185, 0.5333333333333333]"
mobilenetv2_cbam,224,7,0.7641516175116444,0.888613699137352,0.8898678414096917,0.7783941454585438,0.758196704317394,"[0.75, 0.9310344827586207, 0.6666666666666666, 0.9337748344370861, 0.5, 0.8888888888888888]","[0.9473684210526315, 0.9310344827586207, 0.5714285714285714, 0.9276315789473685, 0.4444444444444444, 0.7272727272727273]","[0.8372093023255814, 0.9310344827586207, 0.6153846153846154, 0.9306930693069307, 0.47058823529411764, 0.8]"
mobilenetv2_cbam,224,8,0.652669166295146,0.8337901307691407,0.827433628318584,0.6227144154839638,0.6940610626182314,"[0.5416666666666666, 0.8620689655172413, 0.5, 0.9436619718309859, 0.2222222222222222, 0.6666666666666666]","[0.6842105263157895, 0.8620689655172413, 0.7142857142857143, 0.881578947368421, 0.2222222222222222, 0.8]","[0.6046511627906976, 0.8620689655172413, 0.5882352941176471, 0.9115646258503401, 0.2222222222222222, 0.7272727272727273]"
mobilenetv2_cbam,224,9,0.7610733182161754,0.8807717777376437,0.8761061946902655,0.7327230465382909,0.807379560011139,"[0.8235294117647058, 0.8529411764705882, 0.5454545454545454, 0.9577464788732394, 0.4166666666666667, 0.8]","[0.7368421052631579, 1.0, 0.8571428571428571, 0.8947368421052632, 0.5555555555555556, 0.8]","[0.7777777777777778, 0.9206349206349206, 0.6666666666666666, 0.9251700680272109, 0.47619047619047616, 0.8]"
mobilenetv2_cbam,224,10,0.6723905723905723,0.8296862429605792,0.8230088495575221,0.6574484157817491,0.6963040771864302,"[0.5384615384615384, 0.9259259259259259, 0.5, 0.9166666666666666, 0.36363636363636365, 0.7]","[0.7777777777777778, 0.8928571428571429, 0.5, 0.8627450980392157, 0.4444444444444444, 0.7]","[0.6363636363636364, 0.9090909090909091, 0.5, 0.8888888888888888, 0.4, 0.7]"
mobilenetv2_cbam,224,11,0.6805194864525493,0.8314136692115622,0.8281938325991189,0.6680221266768452,0.7195693976320111,"[0.5714285714285714, 0.896551724137931, 0.7142857142857143, 0.9236111111111112, 0.42857142857142855, 0.47368421052631576]","[0.631578947368421, 0.896551724137931, 0.7142857142857143, 0.875, 0.3, 0.9]","[0.6, 0.896551724137931, 0.7142857142857143, 0.8986486486486487, 0.35294117647058826, 0.6206896551724138]"
mobilenetv2_cbam,224,12,0.7832978977457428,0.8966565536533561,0.8986784140969163,0.7842945725298666,0.7948022267441505,"[0.8666666666666667, 0.9333333333333333, 0.7777777777777778, 0.9411764705882353, 0.5714285714285714, 0.6153846153846154]","[0.6842105263157895, 0.9655172413793104, 1.0, 0.9473684210526315, 0.4444444444444444, 0.7272727272727273]","[0.7647058823529411, 0.9491525423728814, 0.875, 0.9442622950819672, 0.5, 0.6666666666666666]"
