model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2,224,12,0.7110339179262738,0.8736767702738185,0.8722466960352423,0.6976418951418951,0.7370579989681624,"[0.7777777777777778, 0.9642857142857143, 0.5454545454545454, 0.94, 0.375, 0.5833333333333334]","[0.7368421052631579, 0.9310344827586207, 0.8571428571428571, 0.9276315789473685, 0.3333333333333333, 0.6363636363636364]","[0.7567567567567568, 0.9473684210526315, 0.6666666666666666, 0.9337748344370861, 0.35294117647058826, 0.6086956521739131]"
mobilenetv2,224,13,0.733739364957451,0.8661186332053243,0.8584070796460177,0.7042618068900923,0.7845092856662729,"[0.6666666666666666, 0.9230769230769231, 0.5714285714285714, 0.9574468085106383, 0.6363636363636364, 0.47058823529411764]","[0.8421052631578947, 0.8275862068965517, 0.5714285714285714, 0.8881578947368421, 0.7777777777777778, 0.8]","[0.7441860465116279, 0.8727272727272727, 0.5714285714285714, 0.9215017064846417, 0.7, 0.5925925925925926]"
mobilenetv2,224,14,0.7401387990861675,0.8745714321680786,0.8672566371681416,0.7496829958036854,0.7681945524731368,"[0.9444444444444444, 0.9642857142857143, 0.75, 0.9310344827586207, 0.375, 0.5333333333333333]","[0.8947368421052632, 0.9310344827586207, 0.42857142857142855, 0.8881578947368421, 0.6666666666666666, 0.8]","[0.918918918918919, 0.9473684210526315, 0.5454545454545454, 0.9090909090909091, 0.48, 0.64]"
mobilenetv2,224,15,0.6932202745351534,0.8557774727532802,0.8451327433628318,0.6492820482424945,0.7622782446311859,"[0.8095238095238095, 0.896551724137931, 0.36363636363636365, 0.9632352941176471, 0.3333333333333333, 0.5294117647058824]","[0.9444444444444444, 0.9285714285714286, 0.5, 0.8562091503267973, 0.4444444444444444, 0.9]","[0.8717948717948718, 0.9122807017543859, 0.42105263157894735, 0.9065743944636678, 0.38095238095238093, 0.6666666666666666]"
efficientnetb0,192,1,0.690705827746848,0.8413898173661511,0.8237885462555066,0.6453877853368947,0.7712330394952901,"[0.5185185185185185, 0.8888888888888888, 0.45454545454545453, 0.9847328244274809, 0.3333333333333333, 0.6923076923076923]","[0.7368421052631579, 0.8275862068965517, 0.7142857142857143, 0.8486842105263158, 0.6, 0.9]","[0.6086956521739131, 0.8571428571428571, 0.5555555555555556, 0.911660777385159, 0.42857142857142855, 0.782608695652174]"
efficientnetb0,192,2,0.629711962755441,0.8017822637895421,0.7797356828193832,0.5879908226919613,0.7205417213357322,"[0.5151515151515151, 0.9615384615384616, 0.36363636363636365, 0.9596774193548387, 0.375, 0.35294117647058826]","[0.8947368421052632, 0.8620689655172413, 0.5714285714285714, 0.7828947368421053, 0.6666666666666666, 0.5454545454545454]","[0.6538461538461539, 0.9090909090909091, 0.4444444444444444, 0.8623188405797102, 0.48, 0.42857142857142855]"
efficientnetb0,192,3,0.6049324302697024,0.8110318722360129,0.8053097345132744,0.5889673979600762,0.635842719826386,"[0.5, 0.896551724137931, 0.4, 0.9178082191780822, 0.4444444444444444, 0.375]","[0.42105263157894735, 0.896551724137931, 0.5714285714285714, 0.881578947368421, 0.4444444444444444, 0.6]","[0.45714285714285713, 0.896551724137931, 0.47058823529411764, 0.8993288590604027, 0.4444444444444444, 0.46153846153846156]"
efficientnetb0,192,4,0.737929981089112,0.865820218902007,0.8495575221238938,0.677910052910053,0.8594295844976426,"[0.6785714285714286, 1.0, 0.5, 1.0, 0.4444444444444444, 0.4444444444444444]","[1.0, 0.9310344827586207, 0.7142857142857143, 0.8223684210526315, 0.8888888888888888, 0.8]","[0.8085106382978723, 0.9642857142857143, 0.5882352941176471, 0.9025270758122743, 0.5925925925925926, 0.5714285714285714]"
efficientnetb0,192,5,0.7174239677999076,0.8661297388491479,0.8584070796460177,0.6814932933614634,0.7698101462807344,"[0.7368421052631579, 0.9310344827586207, 0.6, 0.9574468085106383, 0.36363636363636365, 0.5]","[0.7777777777777778, 0.9642857142857143, 0.75, 0.8823529411764706, 0.4444444444444444, 0.8]","[0.7567567567567568, 0.9473684210526315, 0.6666666666666666, 0.9183673469387755, 0.4, 0.6153846153846154]"
efficientnetb0,192,6,0.6815196062587404,0.83963913919613,0.8281938325991189,0.655295041145537,0.7368593898539452,"[0.6956521739130435, 0.9333333333333333, 0.6666666666666666, 0.9481481481481482, 0.47368421052631576, 0.21428571428571427]","[0.8421052631578947, 0.9655172413793104, 0.5714285714285714, 0.8421052631578947, 0.9, 0.3]","[0.7619047619047619, 0.9491525423728814, 0.6153846153846154, 0.89198606271777, 0.6206896551724138, 0.25]"
